epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,31816,1.31374,1.07484,1.24519,0.74609,0.65345,0.73622,0.46569,1.29399,1.07244,1.24831,0.0011288,0.0011288,0.0011288
24,34080.9,1.28587,1.03694,1.22015,0.75739,0.67408,0.75822,0.47833,1.27286,1.03629,1.23732,0.0010892,0.0010892,0.0010892
25,37242.9,1.28485,1.03905,1.22588,0.76172,0.65782,0.74927,0.47843,1.26382,1.0305,1.21854,0.0010496,0.0010496,0.0010496
26,40246.4,1.28217,1.01783,1.21492,0.78686,0.65136,0.75483,0.4704,1.27642,1.07676,1.21543,0.00101,0.00101,0.00101
27,43094.2,1.26242,1.02428,1.22675,0.7662,0.6465,0.74133,0.465,1.30048,1.06183,1.24408,0.0009704,0.0009704,0.0009704
28,44708.6,1.25461,1.01214,1.20441,0.7716,0.66212,0.75076,0.47575,1.24806,1.02334,1.20908,0.0009308,0.0009308,0.0009308
29,46310.4,1.25994,0.99111,1.2149,0.75497,0.67073,0.75145,0.48274,1.25249,1.02311,1.21188,0.0008912,0.0008912,0.0008912
30,47733.9,1.24613,0.97058,1.18855,0.7601,0.68867,0.76654,0.49807,1.22719,1.01225,1.20534,0.0008516,0.0008516,0.0008516
31,49123.5,1.24737,0.98647,1.20026,0.76986,0.67575,0.76367,0.49356,1.23476,0.98167,1.19853,0.000812,0.000812,0.000812
32,50396,1.24923,0.96237,1.19947,0.78769,0.66538,0.76048,0.48503,1.27078,1.0082,1.22448,0.0007724,0.0007724,0.0007724
33,51660,1.21626,0.9488,1.18087,0.78584,0.68006,0.77314,0.49137,1.24956,0.96773,1.21279,0.0007328,0.0007328,0.0007328
34,52925.2,1.21438,0.94787,1.18246,0.80074,0.68006,0.78157,0.50021,1.24903,0.96708,1.21429,0.0006932,0.0006932,0.0006932
35,54209.2,1.20677,0.93299,1.18132,0.80979,0.65966,0.76046,0.49202,1.23415,0.96744,1.21367,0.0006536,0.0006536,0.0006536
36,55480.9,1.19554,0.91817,1.16925,0.78767,0.69225,0.77634,0.50378,1.21018,0.9573,1.19468,0.000614,0.000614,0.000614
37,56743.7,1.18389,0.88368,1.16181,0.79928,0.68221,0.78309,0.50516,1.23214,0.94127,1.20502,0.0005744,0.0005744,0.0005744
38,58020.2,1.19082,0.90689,1.16048,0.78085,0.69154,0.77762,0.50223,1.21138,0.94592,1.18382,0.0005348,0.0005348,0.0005348
39,59288.3,1.16877,0.88632,1.15252,0.80358,0.6838,0.78729,0.50863,1.22597,0.93802,1.19939,0.0004952,0.0004952,0.0004952
40,60559,1.16541,0.88625,1.14889,0.78128,0.69443,0.78353,0.51233,1.21342,0.92745,1.19727,0.0004556,0.0004556,0.0004556
41,61806.8,1.13235,0.84345,1.14588,0.79038,0.7023,0.77849,0.50301,1.22417,0.95348,1.18888,0.000416,0.000416,0.000416
42,63168.8,1.10589,0.7917,1.12991,0.78931,0.68798,0.78294,0.50753,1.22345,0.92027,1.18069,0.0003764,0.0003764,0.0003764
43,64600.6,1.09826,0.78679,1.12947,0.77664,0.70837,0.78697,0.51226,1.21803,0.92166,1.19521,0.0003368,0.0003368,0.0003368
44,65991.6,1.08155,0.77045,1.11181,0.80675,0.69871,0.7899,0.51503,1.21435,0.92191,1.19209,0.0002972,0.0002972,0.0002972
45,67286.9,1.07442,0.75434,1.11197,0.82633,0.68221,0.78815,0.51749,1.21061,0.91444,1.19069,0.0002576,0.0002576,0.0002576
46,68541.9,1.06594,0.7369,1.10338,0.82233,0.69369,0.79235,0.51633,1.20948,0.8896,1.18418,0.000218,0.000218,0.000218
47,69787.1,1.05921,0.73697,1.09226,0.78256,0.72289,0.792,0.51659,1.19982,0.89726,1.17524,0.0001784,0.0001784,0.0001784
48,71028.6,1.0324,0.71939,1.09109,0.82038,0.70086,0.79434,0.51844,1.20306,0.89387,1.18054,0.0001388,0.0001388,0.0001388
49,72278.9,1.0431,0.71751,1.09069,0.80164,0.70803,0.79593,0.51843,1.2066,0.89523,1.17919,9.92e-05,9.92e-05,9.92e-05
50,73522.8,1.02655,0.70931,1.08086,0.80367,0.71377,0.79623,0.51957,1.20142,0.88197,1.17744,5.96e-05,5.96e-05,5.96e-05
