epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3669.8,1.60101,2.06914,1.425,0.35464,0.41195,0.32496,0.17094,1.62508,2.256,1.50134,0.0006633,0.0006633,0.0006633
2,6146.03,1.62588,1.7268,1.42436,0.49011,0.50072,0.47071,0.24874,1.61997,2.07113,1.50109,0.00130363,0.00130363,0.00130363
3,8745.45,1.62748,1.64479,1.44101,0.57371,0.50502,0.52195,0.26383,1.64478,1.74298,1.48557,0.00191757,0.00191757,0.00191757
4,11539.9,1.60889,1.5765,1.42791,0.63545,0.53156,0.56468,0.29662,1.63115,1.68443,1.48272,0.0018812,0.0018812,0.0018812
5,14339.5,1.59266,1.51817,1.40623,0.64163,0.53172,0.58038,0.31803,1.51819,1.65487,1.41064,0.0018416,0.0018416,0.0018416
